傷む,いたむ,2,自五,损坏,Class2
品質,ひんしつ,0,名,品质,Class2
頭,あたま,3,名,头,Class3
手足,てあし,1,名,手脚,Class3
だるい,だるい,2,形,懒倦的，慵懒的,Class3
目まい（眩暈）,めまい,2,名,头晕目眩,Class3
欠席届,けっせきとどけ,5,名,请假条,Class3
事務室,じむしつ,2,名,办公室,Class3
風邪を引く,かぜをひく,,组,感冒,Class3
診察,しんさつ,0,名，他サ,诊察,Class3
診断,しんだん,0,名，他サ,诊断,Class3
流感,りゅうかん,0,名,流感,Class3
薬,くすり,0,名,药,Class3
急ぐ,いそぐ,2,自五,急，急速,Class3
急,きゅう,0,名，形动,突然，急迫,Class3
胃,い,0,名,胃,Class3
激しい,はげしい,3,形,剧烈的,Class3
痛み出す,いたみだす,4,自五,疼起来,Class3
吐き気,はきけ,3,名,想呕吐,Class3
豚肉,ぶたにく,0,名,猪肉,Class3
油物,あぶらもの,0,名,油腻食品,Class3
胃潰瘍,いかいよう,2,名,胃溃疡,Class3
今後,こんご,1,名,今后,Class3
刺激,しげき,0,名，他サ,刺激,Class3
強い,つよい,2,形,强的，厉害的,Class3
できるだけ,できるだけ,0,副,尽可能,Class3
控える,ひかえる,3，2,他一,控制,Class3
止む,やむ,0,自五,停住,Class3
厭(嫌),いや,2,形动,讨厌,Class3
薄着,うすぎ,0,名，自サ,衣服单薄,Class3
所為,せい,1,名,原因,Class3
寒気,さむけ,3,名,发冷,Class3
顔色,かおいろ,0,名,脸色,Class3
熱,ねつ,2,名,热度,Class3
額,ひたい,0,名,额,Class3
あてる,あてる,0,他一,放，碰，猜到,Class3
おや,おや,1，0,叹,（表示意外，惊讶）哎呀,Class3
堪らない,たまらない,0,组,难以忍受的、忍受不了的,Class3
どうも,どうも,1,副,总觉得,Class3
いけない,いけない,0,组,不行、不该,Class3
出る,でる,1,自一,出勤、出席、（疾病）发生,Class3
ゆっくり,ゆっくり,3,副,慢慢地，充裕,Class3
承知,しょうち,0,名，他サ,知道,Class3
大事,だいじ,1，3,名，形动,大事，保重,Class3
熱っぽい,ねつっぽい,4,形,发烧,Class3
喉(咽),のど,1,名,喉咙，嗓子,Class3
嚏,くしゃみ,2,名，他サ,打喷嚏,Class3
鼻水,はなみず,0，4,名,鼻涕,Class3
食欲,しょくよく,0，2,名,食欲,Class3
流行る,はやる,2,自五,流行,Class3
休校,きゅうこう,0,名，自サ,（学校）停课,Class3
先,さっき,1,副,刚才，方才,Class3
計る,はかる,2,他五,量,Class3
度,ど,,接尾,（温度，体温）度,Class3
分,ぶ,,接尾,（温度，体温）分,Class3
咳,せき,2,名,咳嗽,Class3
薬局,やっきょく,0,名,药房,Class3
タバコ,tabacco,0,名,香烟,Class3
決して,けっして,0,副,决（不）,Class3
吸う,すう,0,他五,吸（烟）,Class3
夜中,よなか,3,名,半夜,Class3
脂っこい,あぶらっこい,5,形,油腻的,Class3
もどす,もどす,2,他五,吐（的俗语）,Class3
痛み,いたみ,3,名,疼痛,Class3
キリキリ,キリキリ,1,副，自サ,刺痛,Class3
種類,しゅるい,1,名,种类,Class3
壊す,こわす,2,他五,弄坏、打碎,Class3
働き,はたらき,0,名,作用,Class3
弱る,よわる,2,自五,衰弱、软弱,Class3
腐る,くさる,2,自五,变质、腐烂,Class3
病,やまい,1,名,病、缺点,Class3
恐ろしい,おそろしい,4,行,可怕的、可怖的,Class3
コレラ,cholera,1,专,霍乱,Class3
チフス,Typhus 德,1,专,伤寒,Class3
赤痢,せきり,1,专,菌痢,Class3
伝染病,でんせんびょう,1,专,传染病,Class3
黴菌,ばいきん,0,名,细菌,Class3
付く,つく,1，2,自五,附在,Class3
済む,すむ,1,自五,了结、完结,Class3
気にかける,きにかける,,组,放在心上,Class3
万病,まんびょう,0,名,万病,Class3
元,もと,0,名,根源,Class3
原因,げんいん,0,名,原因,Class3
重い,おもい,0,形,重的,Class3
油断,ゆだん,0,名，自サ,疏忽,Class3
橋本,はしもと,0,专,桥本（姓氏）,Class4
もてなす,もてなす,0,他五,招待,Class4
食習慣,しょくしゅうかん,3,名,饮食习惯,Class4
歓談,かんだん,0,名，自サ,畅谈,Class4
…目,…め,,接尾,（表示数词的顺序）第…,Class4
注文,ちゅうもん,0,名，他サ,订货，定购,Class4
乾杯,かんぱい,0,名，自サ,干杯,Class4
幸せ,しあわせ,0,名，形动,幸福,Class4
祝福,しゅくふく,0,名，他サ,祝福,Class4
寿司,すし,2,名,寿司,Class4
召し上がる,めしあがる,0,他五,飲む，食べる的敬语,Class4
米,こめ,2,名,大米,Class4
主食,しゅしょく,0,名,主食,Class4
清酒,せいしゅ,0,名,清酒,Class4
アロコール,alcohol,0,名,酒精,Class4
…分,…ぶん,,接尾,成分,Class4
茅台酒,もうたいしゅ,3,专,茅台酒,Class4
限る,かぎる,2,自他五,限于，限定,Class4
冷める,さめる,2,自一,（热的）东西变冷，（热情等）减退,Class4
お粗末様でした,おそまつさまでした,,,（饭后主人说的客气话）怠慢了,Class4
空く,あく,0,自五,空出，腾出,Class4
様,さま,,接尾,表示尊称,Class4
メニュー,menu,1,名,菜单,Class4
為さる,なさる,2,他五,（する）的敬语,Class4
蟹,かに,0,名,螃蟹,Class4
姿蒸し,すがたむし,0,名,整只蒸,Class4
田うなぎ,たうなぎ,3,名,黄鳝,Class4
揚げ物,あげもの,0,名,油炸食品,Class4
少々,しょうしょう,1,名，副,少许，一点,Class4
お待たせしました,おまたせしました,,组,让您久等了,Class4
うん,うん,1,叹,（はい的随便说法）嗯,Class4
旨い(甘い),うまい,,形,美味，高明,Class4
御馳走様,ごちそうさま,2,组,承您款待了,Class4
勘定,かんじょう,3,名，他サ,结帐，计算,Class4
伝票,でんぴょう,0,名,发票,Class4
食生活,しょくせいかつ,3,名,饮食生活,Class4
風土,ふうど,1,名,风水,Class4
水準,すいじゅん,0,名,水准、水平,Class4
様式,ようしき,0,名,样式,Class4
世紀,せいき,1,名,世纪,Class4
年代,ねんだい,0,名,年代,Class4
改革,かいかく,0,名，他サ,改革,Class4
開放,かいほう,0,名，他サ,开放,Class4
高度,こうど,1,名，形动,高度、高级,Class4
成長期,せいちょうき,3,名,成长期、（经济）发展期,Class4
個人,こじん,1,名,个人,Class4
所得,しょとく,0,名,所得,Class4
著しい,いちじるしい,5,形,明显的、显著的,Class4
伸びる,のびる,2,自一,增加；伸展；伸长,Class4
洗濯機,せんたくき,3，4,名,洗衣机,Class4
家事,かじ,1,名,家务事,Class4
負担,ふたん,0,名，他サ,负担,Class4
こうした,こうした,0,连体,这种、这样的,Class4
伸び,のび,2,名,伸展、发展,Class4
変化,へんか,1,名，自サ,变化,Class4
量,りょう,1,名,数量,Class4
質,しつ,0,名,质量,Class4
変える,かえる,0,他一,改变、变更,Class4
現在,げんざい,1,名,现在,Class4
乳製品,にゅうせいひん,3,名,乳制品,Class4
人々,ひとびと,2,名,人人、每个人,Class4
紅茶,こうちゃ,0,名,红茶,Class4
コーラ,cola,1,专,可乐,Class4
好む,このむ,2,他五,爱好,Class4
紹興酒,しょうこうしゅ,3,专,绍兴酒,Class4
白酒,バイチュウ,3,名,中国白酒,Class4
ウィスキー,whiskey,2，3,名,威士忌,Class4
ワイン,wine,1,名,葡萄酒,Class4
若者,わかもの,0,名,年轻人,Class4
ファミリーレストラン,family restaurant,5,名,家庭餐馆,Class4
ファーストフード,fast food,5,名,快餐食品，方便食品,Class4
外食産業,がいしょくさんぎょう,5,名,餐饮业,Class4
急激,きゅうげき,0,形动,急剧,Class4
国際化,こくさいか,0,名,国际化,Class4
顕著,けんちょ,1,形动,显著的,Class4
背景,はいけい,0,名,背景,Class4
家族団欒,かぞくだんらん,1,名,一家团乐,Class4
減る,ヘる,0,自五,减少,Class4
テープレコーダー,tape recorder,5,名,录音机,Class5
カセット,cassette,2,名,（盒式）录音磁带，录音机,Class5
取り出し,とりだし,0,名,取出来,Class5
ボタン,button,0,名,按钮，钮扣,Class5
押す,おす,0,他五,按，推,Class5
蓋,ふた,0,名,盖子,Class5
再生,さいせい,0,名，自他サ,（录音）重放，死而复生,Class5
回る,まわる,0,自五,旋转，绕道，轮流,Class5
音量,おんりょう,0，3,名,音量,Class5
つまみ,つまみ,0,名,(器物上的)旋钮，下酒菜,Class5
回す,まわす,0,他五,转，转动,Class5
調節,ちょうせつ,0,名，他サ,调节,Class5
動く,うごく,2,自五,转动，移动,Class5
電池,でんち,1,名,电池,Class5
方向,ほうこう,0,名,方向,Class5
電池入れ,でんちいれ,3,名,电池匣,Class5
裏側,うらがわ,0,名,背面，反面,Class5
…側,…がわ,0,接尾,一侧，一边，方面,Class5
マイナス,minus,0,名，他サ,阴极，负数,Class5
プラス,plus,1,名，他サ,正数，阳极,Class5
間違える,まちがえる,4，3,他一,弄错,Class5
液,えき,1,名,液体,Class5
漏れる,もれる,2,自一,漏，泄,Class5
温度,おんど,1,名,温度,Class5
故障,こしょう,0,名，自サ,故障,Class5
絶対,ぜったい,0,名，副,绝对，坚决,Class5
